waveform	Ch0		Gen	
t0	10/3/2021  19:53:50.428034		10/3/2021  19:53:50.428036	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
10/3/2021  19:53:50.428314	7.598418E-1	10/3/2021  19:53:50.428316	3.380670E-1
10/3/2021  19:53:50.428319	6.686207E-1	10/3/2021  19:53:50.428321	2.563276E-1
10/3/2021  19:53:50.428324	5.757649E-1	10/3/2021  19:53:50.428326	1.778579E-1
10/3/2021  19:53:50.428329	4.845438E-1	10/3/2021  19:53:50.428331	1.016769E-1
10/3/2021  19:53:50.428334	3.900532E-1	10/3/2021  19:53:50.428336	3.922805E-2
10/3/2021  19:53:50.428339	2.981782E-1	10/3/2021  19:53:50.428341	2.281879E-3
10/3/2021  19:53:50.428344	2.033606E-1	10/3/2021  19:53:50.428346	-7.526838E-3
10/3/2021  19:53:50.428349	1.098508E-1	10/3/2021  19:53:50.428351	-1.439294E-2
10/3/2021  19:53:50.428354	1.503321E-2	10/3/2021  19:53:50.428356	-2.027817E-2
10/3/2021  19:53:50.428359	-7.913047E-2	10/3/2021  19:53:50.428361	-2.812514E-2
10/3/2021  19:53:50.428364	-1.732942E-1	10/3/2021  19:53:50.428366	-3.531820E-2
10/3/2021  19:53:50.428369	-2.671309E-1	10/3/2021  19:53:50.428371	-3.989560E-2
10/3/2021  19:53:50.428374	-3.603137E-1	10/3/2021  19:53:50.428376	-4.578083E-2
10/3/2021  19:53:50.428379	-4.544774E-1	10/3/2021  19:53:50.428381	-5.199302E-2
10/3/2021  19:53:50.428384	-5.470063E-1	10/3/2021  19:53:50.428386	-5.689738E-2
10/3/2021  19:53:50.428389	-6.398621E-1	10/3/2021  19:53:50.428391	-6.343653E-2
10/3/2021  19:53:50.428394	-7.314102E-1	10/3/2021  19:53:50.428396	-6.964871E-2
10/3/2021  19:53:50.428399	-8.232851E-1	10/3/2021  19:53:50.428401	-7.684177E-2
10/3/2021  19:53:50.428404	-9.128714E-1	10/3/2021  19:53:50.428406	-8.141917E-2
